Unnamed:0,DESA_1,year,population
1882,GANDAMEKAR,2020,3454
1883,CIBOGOHILIR,2020,7121
1884,PALINGGIHAN,2020,5138
1885,BABAKAN SARI,2020,3112
1886,P L E R E D,2020,5018
1887,SINDANGSARI,2020,5404
1888,CITEKO,2020,5075
1889,CITEKOKALER,2020,3710
1890,LINGGARSARI,2020,4427
1891,PAMOYANAN,2020,6197
1892,LIUNGGUNUNG,2020,6012
1893,ANJUN,2020,4712
1894,CIBOGO GIRANG,2020,7578
1895,SEMPUR,2020,5364
1896,CIANTING,2020,7007
1897,PASIRMUNJUL,2020,3310
1898,CIBODAS,2020,4314
1899,CIANTING UTARA,2020,2959
1900,SUKATANI,2020,12917
1901,MALANGNENGAH,2020,5389
1902,CILALAWI,2020,4389
1903,SUKAMAJU,2020,3703
1904,CIPICUNG,2020,3227
1905,TAJURSINDANG,2020,5603
1906,SINDANGLAYA,2020,3884
1907,PANYINDANGAN,2020,5898
1908,SUKAJAYA,2020,5223
1909,CIJANTUNG,2020,4885
1910,CIWANGI,2020,10587
1911,CIBENING,2020,12277
1912,BUNGURSARI,2020,3577
1913,CIBUNGUR,2020,2298
1914,DANGDEUR,2020,3636
1915,WANAKERTA,2020,3862
1916,CINANGKA,2020,3836
1917,CIKOPO,2020,7340
1918,KARANGMUKTI,2020,2741
1919,CIBODAS,2020,6202
1920,NANGERANG,2021,2144
1921,SIMPANG,2021,2020
1922,SAKAMBANG,2021,1570
1923,NAGROG,2021,2580
1924,CIBUNTU,2021,1640
1925,SUMURUGUL,2021,1680
1926,RAHARJA,2021,1500
1927,WANAYASA,2021,5570
1928,BABAKAN,2021,3730
1929,WANASARI,2021,3670
1930,LEGOKHUNI,2021,2770
1931,CIAWI,2021,3060
1932,SUKADAMI,2021,3730
1933,TARINGGUL TONGGOH,2021,3810
1934,TARINGGUL TENGAH,2021,3830
1935,JATIMEKAR,2021,4490
1936,CIKAOBANDUNG,2021,6110
1937,JATILUHUR,2021,4520
1938,CILEGONG,2021,6090
1939,KEMBANGKUNING,2021,11910
1940,CIBINONG,2021,5170
1941,PARAKANLIMA,2021,6490
1942,CISALADA,2021,7250
1943,MEKARGALIH,2021,9540
1944,BUNDER,2021,12390
1945,PUSAKAMULYA,2021,4960
1946,PARAKAN GAROKGEK,2021,3340
1947,CIRACAS,2021,2850
1948,KIARAPEDES,2021,3100
1949,CIBEBER,2021,2350
1950,SUMBERSARI,2021,1920
1951,MEKARJAYA,2021,2650
1952,MARGALUYU,2021,2900
1953,GARDU,2021,2140
1954,TARINGGUL LANDEUH,2021,4130
1955,PARUNGBANTENG,2021,2890
1956,SUKASARI,2021,3780
1957,CIRIRIP,2021,3730
1958,KERTAMANAH,2021,2880
1959,KUTAMANAH,2021,3980
1960,CIBINGBIN,2021,5200
1961,BOJONG TIMUR,2021,4450
1962,PASANGGRAHAN,2021,2510
1963,CIHANJAWAR,2021,2410
1964,CIKERIS,2021,2940
1965,BOJONG BARAT,2021,3780
1966,PANGKALAN,2021,2580
1967,SUKAMANAH,2021,3110
1968,PAWENANG,2021,3110
1969,SINDANGSARI,2021,3420
1970,SINDANGPANON,2021,6110
1971,CIPEUNDEUY,2021,4730
1972,CILEUNCA,2021,3840
1973,KERTASARI,2021,4800
1974,SINDANGKASIH,2021,20040
1975,NAGERI KIDUL,2021,15450
1976,NAGERI TENGAH,2021,10900
1977,CIPAISAN,2021,12360
1978,NAGERI KALER,2021,24670
1979,TEGALMUNJUL,2021,14610
1980,CITALANG,2021,11320
1981,MUNJULJAYA,2021,21420
1982,CISEUREUH,2021,38370
1983,PURWAMEKAR,2021,10100
1984,MARACANG,2021,8960
1985,CIWARENG,2021,10380
1986,MULYAMEKAR,2021,10250
1987,CIGELAM,2021,7210
1988,BABAKANCIKAO,2021,5160
1989,KADUMEKAR,2021,2400
1990,HEGARMANAH,2021,3150
1991,CICADAS,2021,5840
1992,CILANGKAP,2021,6560
1993,BUNGUR JAYA,2021,2020
1994,PONDOKBUNGUR,2021,3210
1995,SALEM,2021,3470
1996,GALUDRA,2021,1530
1997,SUKAJADI,2021,2780
1998,TANJUNGSARI,2021,4830
1999,SALAM JAYA,2021,2730
2000,SITU,2021,2400
2001,PARAKANSALAM,2021,1680
2002,SALAM MULYA,2021,3400
2003,GURUDUG,2021,2680
2004,CIHERANG,2021,4180
2005,CIDAHU,2021,1760
2006,PASAWAHAN ANYAR,2021,2050
2007,PASAWAHANKIDUL,2021,3670
2008,SAWAH KULON,2021,4930
2009,KERTAJAYA,2021,5140
2010,LEBAKANYAR,2021,5680
2011,CIHUNI,2021,3910
2012,WARUNGKADU,2021,2800
2013,SELAAWI,2021,5220
2014,MARGASARI,2021,4530
2015,PASAWAHAN,2021,5590
2016,CIRENDE,2021,2130
2017,BENTENG,2021,4210
2018,CAMPAKA,2021,5030
2019,CAMPAKASARI,2021,5710
2020,CIJUNTI,2021,5420
2021,CISAAT,2021,4300
2022,CIMAHI,2021,5610
2023,CIKUMPAY,2021,8260
2024,CIJAYA,2021,5280
2025,KERTAMUKTI,2021,4340
2026,WANAWALI,2021,1690
2027,CIKADU,2021,2210
2028,CIBUKAMANAH,2021,2200
2029,CIRANGKONG,2021,3310
2030,CIPANCUR,2021,1700
2031,CIPINANG,2021,5160
2032,CIPARUNGSARI,2021,3370
2033,KARYAMEKAR,2021,3290
2034,CIBATU,2021,3260
2035,CILANDAK,2021,5040
2036,PASIRANGIN,2021,5760
2037,NANGEWER,2021,6720
2038,NEGLASARI,2021,4860
2039,LINGGASARI,2021,4480
2040,SAWIT,2021,4290
2041,SIRNAMANAH,2021,2160
2042,DEPOK,2021,6540
2043,LEGOKSARI,2021,2460
2044,MEKARSARI,2021,4810
2045,GUNUNGHEJO,2021,3200
2046,DARANGDAN,2021,6610
2047,SADARKARYA,2021,3510
2048,LINGGAMUKTI,2021,3310
2049,CILINGGA,2021,4980
2050,NAGRAK,2021,7160
2051,TEGALDATAR,2021,6330
2052,SINARGALIH,2021,7080
2053,CITAMIANG,2021,4370
2054,CIJATI,2021,2790
2055,GUNUNGKARUNG,2021,4580
2056,PASIRJAMBU,2021,3990
2057,CIRAMAHILIR,2021,3680
2058,SUKAMUKTI,2021,3200
2059,SUKAHAJI,2021,2980
2060,KAROYA,2021,5130
2061,CADASSARI,2021,2980
2062,CADASMEKAR,2021,3620
2063,CITALANG,2021,5270
2064,BATUTUMPANG,2021,4620
2065,TEGALWARU,2021,3030
2066,TEGALSARI,2021,2890
2067,WARUNGJERUK,2021,5200
2068,GALUMPIT,2021,2930
2069,CISARUA,2021,4860
2070,SUKAMULYA,2021,6140
2071,PASANGGRAHAN,2021,3540
2072,RAWASARI,2021,3640
2073,GANDASOLI,2021,3670
2074,GANDAMEKAR,2021,3580
2075,CIBOGOHILIR,2021,7680
2076,PALINGGIHAN,2021,5570
2077,BABAKAN SARI,2021,3260
2078,P L E R E D,2021,4720
2079,SINDANGSARI,2021,5570
2080,CITEKO,2021,5140
2081,CITEKOKALER,2021,4060
2082,LINGGARSARI,2021,4750
2083,PAMOYANAN,2021,6520
2084,LIUNGGUNUNG,2021,6450
2085,ANJUN,2021,4700
2086,CIBOGO GIRANG,2021,8270
2087,SEMPUR,2021,5840
2088,CIANTING,2021,7380
2089,PASIRMUNJUL,2021,3450
2090,CIBODAS,2021,4500
2091,CIANTING UTARA,2021,2940
2092,SUKATANI,2021,13290
2093,MALANGNENGAH,2021,5650
2094,CILALAWI,2021,4490
2095,SUKAMAJU,2021,3870
2096,CIPICUNG,2021,3510
2097,TAJURSINDANG,2021,6040
2098,SINDANGLAYA,2021,4630
2099,PANYINDANGAN,2021,6740
2100,SUKAJAYA,2021,5290
2101,CIJANTUNG,2021,5140
2102,CIWANGI,2021,11180
2103,CIBENING,2021,13800
2104,BUNGURSARI,2021,3830
2105,CIBUNGUR,2021,3890
2106,DANGDEUR,2021,2680
2107,WANAKERTA,2021,3960
2108,CINANGKA,2021,4290
2109,CIKOPO,2021,7690
2110,KARANGMUKTI,2021,2840
2111,CIBODAS,2021,6360
2112,NANGERANG,2022,2092
2113,SIMPANG,2022,1934
2114,SAKAMBANG,2022,1496
2115,NAGROG,2022,2412
2116,CIBUNTU,2022,1605
2117,SUMURUGUL,2022,1774
2118,RAHARJA,2022,1475
2119,WANAYASA,2022,5486
2120,BABAKAN,2022,3646
2121,WANASARI,2022,3454
2122,LEGOKHUNI,2022,3564
2123,CIAWI,2022,2997
2124,SUKADAMI,2022,3533
2125,TARINGGUL TONGGOH,2022,2684
2126,TARINGGUL TENGAH,2022,3533
2127,JATIMEKAR,2022,4490
2128,CIKAOBANDUNG,2022,6110
2129,JATILUHUR,2022,4520
2130,CILEGONG,2022,6090
2131,KEMBANGKUNING,2022,11900
2132,CIBINONG,2022,5170
2133,PARAKANLIMA,2022,6490
2134,CISALADA,2022,7250
2135,MEKARGALIH,2022,9540
2136,BUNDER,2022,12400
2137,PUSAKAMULYA,2022,4960
2138,PARAKAN GAROKGEK,2022,3340
2139,CIRACAS,2022,2850
2140,KIARAPEDES,2022,3100
2141,CIBEBER,2022,2350
2142,SUMBERSARI,2022,1920
2143,MEKARJAYA,2022,2650
2144,MARGALUYU,2022,2900
2145,GARDU,2022,2140
2146,TARINGGUL LANDEUH,2022,2130
2147,PARUNGBANTENG,2022,2890
2148,SUKASARI,2022,3780
2149,CIRIRIP,2022,3680
2150,KERTAMANAH,2022,2880
2151,KUTAMANAH,2022,3980
2152,CIBINGBIN,2022,5200
2153,BOJONG TIMUR,2022,4450
2154,PASANGGRAHAN,2022,2510
2155,CIHANJAWAR,2022,2410
2156,CIKERIS,2022,2940
2157,BOJONG BARAT,2022,3780
2158,PANGKALAN,2022,2580
2159,SUKAMANAH,2022,3110
2160,PAWENANG,2022,3110
2161,SINDANGSARI,2022,3420
2162,SINDANGPANON,2022,6110
2163,CIPEUNDEUY,2022,4730
2164,CILEUNCA,2022,3840
2165,KERTASARI,2022,4800
2166,SINDANGKASIH,2022,20000
2167,NAGERI KIDUL,2022,15500
2168,NAGERI TENGAH,2022,10900
2169,CIPAISAN,2022,12400
2170,NAGERI KALER,2022,24700
2171,TEGALMUNJUL,2022,14600
2172,CITALANG,2022,11300
2173,MUNJULJAYA,2022,21400
2174,CISEUREUH,2022,38400
2175,PURWAMEKAR,2022,10100
2176,MARACANG,2022,8960
2177,CIWARENG,2022,10400
2178,MULYAMEKAR,2022,10300
2179,CIGELAM,2022,7210
2180,BABAKANCIKAO,2022,5160
2181,KADUMEKAR,2022,2400
2182,HEGARMANAH,2022,3150
2183,CICADAS,2022,5840
2184,CILANGKAP,2022,6560
2185,BUNGUR JAYA,2022,2020
2186,PONDOKBUNGUR,2022,3210
2187,SALEM,2022,3470
2188,GALUDRA,2022,1530
2189,SUKAJADI,2022,2780
2190,TANJUNGSARI,2022,4830
2191,SALAM JAYA,2022,2730
2192,SITU,2022,2400
2193,PARAKANSALAM,2022,1680
2194,SALAM MULYA,2022,3400
2195,GURUDUG,2022,2680
2196,CIHERANG,2022,4180
2197,CIDAHU,2022,1760
2198,PASAWAHAN ANYAR,2022,2050
2199,PASAWAHANKIDUL,2022,3670
2200,SAWAH KULON,2022,4930
2201,KERTAJAYA,2022,5140
2202,LEBAKANYAR,2022,5680
2203,CIHUNI,2022,3910
2204,WARUNGKADU,2022,2800
2205,SELAAWI,2022,5220
2206,MARGASARI,2022,4530
2207,PASAWAHAN,2022,5590
2208,CIRENDE,2022,2130
2209,BENTENG,2022,4210
2210,CAMPAKA,2022,5030
2211,CAMPAKASARI,2022,5710
2212,CIJUNTI,2022,5420
2213,CISAAT,2022,4300
2214,CIMAHI,2022,5610
2215,CIKUMPAY,2022,8260
2216,CIJAYA,2022,5280
2217,KERTAMUKTI,2022,4340
2218,WANAWALI,2022,1690
2219,CIKADU,2022,2210
2220,CIBUKAMANAH,2022,2200
2221,CIRANGKONG,2022,3310
2222,CIPANCUR,2022,1700
2223,CIPINANG,2022,5160
2224,CIPARUNGSARI,2022,3370
2225,KARYAMEKAR,2022,3290
2226,CIBATU,2022,3260
2227,CILANDAK,2022,5040
2228,PASIRANGIN,2022,5760
2229,NANGEWER,2022,6720
2230,NEGLASARI,2022,4860
2231,LINGGASARI,2022,4480
2232,SAWIT,2022,4290
2233,SIRNAMANAH,2022,2160
2234,DEPOK,2022,6540
2235,LEGOKSARI,2022,2460
2236,MEKARSARI,2022,4810
2237,GUNUNGHEJO,2022,3200
2238,DARANGDAN,2022,6610
2239,SADARKARYA,2022,3510
2240,LINGGAMUKTI,2022,3310
2241,CILINGGA,2022,4980
2242,NAGRAK,2022,7160
2243,TEGALDATAR,2022,6330
2244,SINARGALIH,2022,7080
2245,CITAMIANG,2022,4370
2246,CIJATI,2022,2790
2247,GUNUNGKARUNG,2022,4580
2248,PASIRJAMBU,2022,3990
2249,CIRAMAHILIR,2022,3680
2250,SUKAMUKTI,2022,3200
2251,SUKAHAJI,2022,2980
2252,KAROYA,2022,5130
2253,CADASSARI,2022,2980
2254,CADASMEKAR,2022,3620
2255,CITALANG,2022,5270
2256,BATUTUMPANG,2022,4620
2257,TEGALWARU,2022,3030
2258,TEGALSARI,2022,2890
2259,WARUNGJERUK,2022,5200
2260,GALUMPIT,2022,2930
2261,CISARUA,2022,4860
2262,SUKAMULYA,2022,6140
2263,PASANGGRAHAN,2022,3540
2264,RAWASARI,2022,3640
2265,GANDASOLI,2022,3670
2266,GANDAMEKAR,2022,3580
2267,CIBOGOHILIR,2022,7680
2268,PALINGGIHAN,2022,5570
2269,BABAKAN SARI,2022,3260
2270,P L E R E D,2022,4720
2271,SINDANGSARI,2022,5570
2272,CITEKO,2022,5140
2273,CITEKOKALER,2022,4060
2274,LINGGARSARI,2022,4750
2275,PAMOYANAN,2022,6520
2276,LIUNGGUNUNG,2022,6450
2277,ANJUN,2022,4700
2278,CIBOGO GIRANG,2022,8270
2279,SEMPUR,2022,5840
2280,CIANTING,2022,7380
2281,PASIRMUNJUL,2022,3450
2282,CIBODAS,2022,4500
2283,CIANTING UTARA,2022,2940
2284,SUKATANI,2022,13290
2285,MALANGNENGAH,2022,5650
2286,CILALAWI,2022,4490
2287,SUKAMAJU,2022,3870
2288,CIPICUNG,2022,3510
2289,TAJURSINDANG,2022,6040
2290,SINDANGLAYA,2022,4630
2291,PANYINDANGAN,2022,6740
2292,SUKAJAYA,2022,5290
2293,CIJANTUNG,2022,5140
2294,CIWANGI,2022,11180
2295,CIBENING,2022,13800
2296,BUNGURSARI,2022,3830
2297,CIBUNGUR,2022,3890
2298,DANGDEUR,2022,2680
2299,WANAKERTA,2022,3960
2300,CINANGKA,2022,4290
2301,CIKOPO,2022,7690
2302,KARANGMUKTI,2022,2840
2303,CIBODAS,2022,6360
2304,NANGERANG,2023,2207
2305,SIMPANG,2023,2038
2306,SAKAMBANG,2023,1623
2307,NAGROG,2023,2659
2308,CIBUNTU,2023,1700
2309,SUMURUGUL,2023,1759
2310,RAHARJA,2023,1508
2311,WANAYASA,2023,5533
2312,BABAKAN,2023,3802
2313,WANASARI,2023,3632
2314,LEGOKHUNI,2023,2838
2315,CIAWI,2023,3146
2316,SUKADAMI,2023,3753
2317,TARINGGUL TONGGOH,2023,3730
2318,TARINGGUL TENGAH,2023,3853
2319,JATIMEKAR,2023,3900
2320,CIKAOBANDUNG,2023,6263
2321,JATILUHUR,2023,4303
2322,CILEGONG,2023,6154
2323,KEMBANGKUNING,2023,11708
2324,CIBINONG,2023,5283
2325,PARAKANLIMA,2023,6568
2326,CISALADA,2023,7401
2327,MEKARGALIH,2023,9769
2328,BUNDER,2023,12794
2329,PUSAKAMULYA,2023,5078
2330,PARAKAN GAROKGEK,2023,3473
2331,CIRACAS,2023,2988
2332,KIARAPEDES,2023,3199
2333,CIBEBER,2023,2468
2334,SUMBERSARI,2023,2039
2335,MEKARJAYA,2023,2681
2336,MARGALUYU,2023,3088
2337,GARDU,2023,2147
2338,TARINGGUL LANDEUH,2023,2165
2339,PARUNGBANTENG,2023,2819
2340,SUKASARI,2023,3859
2341,CIRIRIP,2023,3820
2342,KERTAMANAH,2023,3020
2343,KUTAMANAH,2023,4145
2344,CIBINGBIN,2023,5285
2345,BOJONG TIMUR,2023,4448
2346,PASANGGRAHAN,2023,2591
2347,CIHANJAWAR,2023,2524
2348,CIKERIS,2023,2885
2349,BOJONG BARAT,2023,3823
2350,PANGKALAN,2023,2660
2351,SUKAMANAH,2023,3249
2352,PAWENANG,2023,3107
2353,SINDANGSARI,2023,3430
2354,SINDANGPANON,2023,6070
2355,CIPEUNDEUY,2023,4809
2356,CILEUNCA,2023,3951
2357,KERTASARI,2023,4793
2358,SINDANGKASIH,2023,20578
2359,NAGERI KIDUL,2023,15763
2360,NAGERI TENGAH,2023,11309
2361,CIPAISAN,2023,12562
2362,NAGERI KALER,2023,24552
2363,TEGALMUNJUL,2023,15228
2364,CITALANG,2023,11219
2365,MUNJULJAYA,2023,21422
2366,CISEUREUH,2023,38661
2367,PURWAMEKAR,2023,10038
2368,MARACANG,2023,8903
2369,CIWARENG,2023,9963
2370,MULYAMEKAR,2023,9886
2371,CIGELAM,2023,7099
2372,BABAKANCIKAO,2023,5072
2373,KADUMEKAR,2023,2730
2374,HEGARMANAH,2023,3412
2375,CICADAS,2023,5996
2376,CILANGKAP,2023,6851
2377,BUNGUR JAYA,2023,2087
2378,PONDOKBUNGUR,2023,3236
2379,SALEM,2023,3505
2380,GALUDRA,2023,1562
2381,SUKAJADI,2023,2747
2382,TANJUNGSARI,2023,4995
2383,SALAM JAYA,2023,2721
2384,SITU,2023,2457
2385,PARAKANSALAM,2023,1721
2386,SALAM MULYA,2023,3566
2387,GURUDUG,2023,2762
2388,CIHERANG,2023,4326
2389,CIDAHU,2023,1781
2390,PASAWAHAN ANYAR,2023,2109
2391,PASAWAHANKIDUL,2023,3722
2392,SAWAH KULON,2023,5135
2393,KERTAJAYA,2023,5212
2394,LEBAKANYAR,2023,5497
2395,CIHUNI,2023,3922
2396,WARUNGKADU,2023,2797
2397,SELAAWI,2023,5281
2398,MARGASARI,2023,4500
2399,PASAWAHAN,2023,5647
2400,CIRENDE,2023,2210
2401,BENTENG,2023,3841
2402,CAMPAKA,2023,5082
2403,CAMPAKASARI,2023,5900
2404,CIJUNTI,2023,5380
2405,CISAAT,2023,4382
2406,CIMAHI,2023,5778
2407,CIKUMPAY,2023,7702
2408,CIJAYA,2023,4978
2409,KERTAMUKTI,2023,4421
2410,WANAWALI,2023,1670
2411,CIKADU,2023,2256
2412,CIBUKAMANAH,2023,2213
2413,CIRANGKONG,2023,3408
2414,CIPANCUR,2023,1854
2415,CIPINANG,2023,5094
2416,CIPARUNGSARI,2023,3525
2417,KARYAMEKAR,2023,3453
2418,CIBATU,2023,3331
2419,CILANDAK,2023,5239
2420,PASIRANGIN,2023,5873
2421,NANGEWER,2023,6774
2422,NEGLASARI,2023,4976
2423,LINGGASARI,2023,4526
2424,SAWIT,2023,4303
2425,SIRNAMANAH,2023,2179
2426,DEPOK,2023,6636
2427,LEGOKSARI,2023,2470
2428,MEKARSARI,2023,4913
2429,GUNUNGHEJO,2023,3286
2430,DARANGDAN,2023,6571
2431,SADARKARYA,2023,3588
2432,LINGGAMUKTI,2023,3393
2433,CILINGGA,2023,5074
2434,NAGRAK,2023,7248
2435,TEGALDATAR,2023,6424
2436,SINARGALIH,2023,7085
2437,CITAMIANG,2023,4357
2438,CIJATI,2023,2829
2439,GUNUNGKARUNG,2023,4721
2440,PASIRJAMBU,2023,4090
2441,CIRAMAHILIR,2023,3746
2442,SUKAMUKTI,2023,3306
2443,SUKAHAJI,2023,3066
2444,KAROYA,2023,5285
2445,CADASSARI,2023,3140
2446,CADASMEKAR,2023,3616
2447,CITALANG,2023,5343
2448,BATUTUMPANG,2023,4716
2449,TEGALWARU,2023,3107
2450,TEGALSARI,2023,2955
2451,WARUNGJERUK,2023,5272
2452,GALUMPIT,2023,2992
2453,CISARUA,2023,4911
2454,SUKAMULYA,2023,6241
2455,PASANGGRAHAN,2023,3656
2456,RAWASARI,2023,3719
2457,GANDASOLI,2023,3831
2458,GANDAMEKAR,2023,3688
2459,CIBOGOHILIR,2023,7561
2460,PALINGGIHAN,2023,5444
2461,BABAKAN SARI,2023,3217
2462,P L E R E D,2023,5151
2463,SINDANGSARI,2023,5536
2464,CITEKO,2023,5209
2465,CITEKOKALER,2023,4112
2466,LINGGARSARI,2023,4814
2467,PAMOYANAN,2023,6456
2468,LIUNGGUNUNG,2023,6586
2469,ANJUN,2023,4797
2470,CIBOGO GIRANG,2023,8262
2471,SEMPUR,2023,5780
2472,CIANTING,2023,7417
2473,PASIRMUNJUL,2023,3513
2474,CIBODAS,2023,4597
2475,CIANTING UTARA,2023,3056
2476,SUKATANI,2023,13709
2477,MALANGNENGAH,2023,5616
2478,CILALAWI,2023,4696
2479,SUKAMAJU,2023,4066
2480,CIPICUNG,2023,3539
2481,TAJURSINDANG,2023,5995
2482,SINDANGLAYA,2023,4560
2483,PANYINDANGAN,2023,6759
2484,SUKAJAYA,2023,5479
2485,CIJANTUNG,2023,5422
2486,CIWANGI,2023,10775
2487,CIBENING,2023,13731
2488,BUNGURSARI,2023,3785
2489,CIBUNGUR,2023,3993
2490,DANGDEUR,2023,2527
2491,WANAKERTA,2023,3976
2492,CINANGKA,2023,3947
2493,CIKOPO,2023,7835
2494,KARANGMUKTI,2023,2918
2495,CIBODAS,2023,6529
